-23,56,12
-25,55,13
-29,55,15
-29,56,16
-29,66,19
-28,65,21
-31,65,20
-32,67,19
-35,64,16
-34,57,15
-30,53,15
-24,51,14
-20,55,11
-14,58,10
-6,66,10
-2,64,18
0,63,19
-3,60,23
-7,57,23
-15,55,21
-18,54,20
-24,54,19
-28,53,18
-34,50,18
-34,48,18
-32,47,18
-30,48,19
-26,54,21
-24,58,22
-22,60,20
-20,62,20
-15,66,21
-12,66,20
-6,69,27
-6,73,29
-14,76,15
-10,62,11
-11,55,10
-16,53,7
-18,54,5
-24,64,4
-21,67,7
-16,65,11
